Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Childrens Choice Daycare Inc.,144,Childrens Choice Daycare,Peel,Brampton,L6S 5P4,2025-05-16,Active,No,25.13,122.25,
Ogden Daycare,145,Ogden Daycare,Toronto,Toronto,M5T 1A8,2025-03-12,Dormant 2,No,22.50,22.50,
Brock Early Learning Centre,147,Brock Early Learning Centre,Toronto,Toronto,M6H 3S4,2023-11-06,Inactive/New,No,0.00,0.00,
Hilltop Daycare Centre,154,Hilltop Daycare Centre,Toronto,Scarborough,M1K 1Y1,2025-04-28,Active,No,16.04,104.08,
St. Marks Child Care Centre Ltd.,156,St. Marks Child Care Centre Ltd.,York Region,Woodbridge,L4L 1Y5,2024-09-23,Dormant 4,No,0.00,7.00,
West Scarborough NCC,167,West Scarborough NCC - Pharmacy Ave,Toronto,Toronto,M1L3E7,2025-03-07,Dormant 2,No,3.50,6.50,
WEST SCARBOROUGH NEIGHBOURHOOD COMMUNITY CENTRE,167,Danforth Gardens Playcare,Toronto,Scarborough,M1L4H4,2025-03-07,Dormant 2,Yes,3.50,6.50,
WEST SCARBOROUGH NEIGHBOURHOOD COMMUNITY CENTRE,167,Oakridge Junior Playcare,Toronto,Toronto,M1L3P1,2025-03-07,Dormant 2,Yes,3.50,6.50,
Tropicana Community Services,176,Children Of Tomorrow Daycare - 425 McCowan,Toronto,Scarborough,M1J 1J5,2025-05-30,Active,No,166.03,1025.51,
CDI,178,CDI - Windermere Early Learning Centre,Toronto,Toronto,M6S 5B3,2023-07-18,Inactive/New,Yes,0.00,0.00,
Centennial College,180,Centennial College - Progress Child Care Centre,Toronto,Scarborough,M1G 3T8,2025-05-09,Active,No,141.25,900.41,
The Salvation Army,183,Scarborough Citadel Child Care,Toronto,Scarborough,M1R 2Z2,2023-04-28,Inactive/New,Yes,0.00,0.00,
Owen Community Learning Centre,184,Owen Community Learning Centre,Toronto,North York,M2P 1G6,2023-06-02,Inactive/New,No,0.00,0.00,
Kiddies Lodge Day Care Centre,186,Kiddies Lodge Day Care Centre,Toronto,Scarborough,M1P 2W4,,Inactive/New,No,0.00,0.00,
Vradenburg Community Child Care Centre,187,Vradenburg Community Child Care Centre,Toronto,Toronto,M1T 1M6,2025-05-30,Active,No,19.39,369.67,
Timothy Eaton Infant & Toddler Centre,188,Timothy Eaton Infant & Toddler Centre,Toronto,Toronto,M1T 2Z3,2025-04-07,Dormant 1,No,14.88,254.25,
Hillmount Childcare Centre,193,Hillmount Childcare Centre,Toronto,North York,M2H 2C6,2024-06-07,Dormant 4,No,0.00,7.00,
Brackendale Montessori,194,Brackendale Montessori - Ajax,Durham,Ajax,L1T 4T9,,Inactive/New,No,0.00,0.00,
Ranchdale Rompers Day Care Incorporated,198,Ranchdale Rompers Day Care Incorporated,Toronto,Toronto,M3A 2M3,2025-05-16,Active,No,16.00,327.83,
St. Crispins Day Care Centre,205,St. Crispins Day Care Centre,Toronto,Scarborough,M1N 1T1,2022-06-24,Inactive/New,No,0.00,0.00,
Steel Kid's Day Care - Richmond Hill,206,Steel Kid's Day Care - Richmond Hill,York Region,Richmond Hill,L4C 9Y9,2025-04-21,Active,No,5.50,113.75,
Wesley Christian Academy and Early Learning Centre,208,Wesley Christian Academy and Early Learning Centre,York Region,Markham,L3P 1M4,2025-05-30,Active,No,191.58,1473.75,
"Roywood Child Care North York, Inc.",209,"Roywood Child Care North York, Inc.",Toronto,Toronto,M3A 2C7,2025-04-11,Dormant 1,No,7.00,48.50,
Seneca College ECE Lab School,213,Seneca College ECE Lab School,Toronto,North York,M2J 2X5,,Inactive/New,No,0.00,0.00,
Dover Gardens Nursery School,214,Dover Gardens Nursery School,Toronto,Toronto,M6H 2G4,2023-12-15,Inactive/New,No,0.00,0.00,
Hester How Day Care Centre,216,Hester How Day Care Centre,Toronto,Toronto,M5H 2N2,2025-03-31,Dormant 1,No,14.50,75.75,
Sunflower Montessori Day Care Inc.,217,Sunflower Montessori Day Care Inc.,York Region,York,M6E 2X5,,Inactive/New,No,0.00,0.00,
YWCA Toronto - Bergamot ELC,218,YWCA Toronto - Bergamot ELC,Toronto,Etobicoke,M9W 1V9,2025-04-22,Active,No,134.84,1056.43,
John Ross Robertson Child Care,220,John Ross Robertson Child Care,Toronto,Toronto,M4R 1P2,2025-04-25,Active,No,39.06,376.59,
APS Daycare,223,APS Daycare,Toronto,Toronto,M5N 2M6,2025-05-07,Active,No,43.00,86.00,
