Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
North York Little Prints,1015,Blessed Trinity School,Toronto,North York,M2K1G3,2024-09-27,Dormant 4,No,0.00,5.50,
All About Kids,1019,All About Kids - Gerrard,Toronto,Toronto,M4M 1Z7,,Inactive/New,No,0.00,0.00,
2288115 Ontario Limited,1023,Little Kids Daycare Center,Halton,Oakville,L6M4Y7,,Inactive/New,No,0.00,0.00,
Blacksmith Childcare Centre,1030,Blacksmith Childcare Centre,Toronto,Toronto,M3N 1V5,2025-05-21,Active,No,106.17,689.00,
Milton Community Resource Centre,1032,Brookville,Halton,Milton,L0P 1B0,,Inactive/New,Yes,0.00,0.00,
EYET Early Learning Centre,1037,Annies Place EYET,Toronto,Toronto,M4C4Y9,,Inactive/New,Yes,0.00,0.00,
NYAD,1041,NYAD - Corvette,Toronto,Scarborough,M1K 3G2,2025-05-01,Active,Yes,22.42,649.09,
Garrison Creek Comm Daycare,1043,Garrison Creek Comm Daycare,Toronto,Toronto,M6J2L3,,Inactive/New,No,0.00,0.00,
NYAD,1054,NYAD - Mason Road,Toronto,Toronto,M1M3R2,2025-04-08,Dormant 1,Yes,8.58,164.75,
Educare Childrens Centre,1060,Educare Childrens Centre,Peel,Mississauga,L4X 1S2,2025-04-21,Active,No,41.78,388.08,
Playcare Early Learning Centre Inc.,1063,Playcare Early Learning,York Region,Vaughan,L6A0A9,,Inactive/New,No,0.00,0.00,
Todays Family - Caring for Your Child - Halton,1069,Todays Family - Brookdale,Halton,Oakville,L6L 2C3,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1071,YMCA New Central Public School SACC,Halton,Oakville,L6J3X4,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1073,YMCA Oakville SACC - Maple Grove,Halton,Oakville,L6J4V5,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1074,YMCA of Oakville SACC - Montclair,Halton,Oakville,L6H1Z3,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1076,Pilgrim Wood Junior YMCA,Halton,Oakville,L6M2W7,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1077,St Joseph Childrens Centre,Toronto,Markham,L3P 2G5,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1078,YMCA Ham/Burl - YMCA SACC - Sheridan,Halton,Oakville,L6H3H4,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1079,St Julia Billiart school age program,Toronto,Markham,L6E 1X5,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1080,St Kateri school age program,Toronto,Markham,L3P 4B5,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1081,St Edward School Age Program,Toronto,Markham,L3P 7M8,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1082,Sir Richard Scott School Age Program,Toronto,Markham,L3S 3S8,,Inactive/New,Yes,0.00,0.00,
Todays Family - Caring for Your Child - Halton,1083,Brant Hills Before and after School Program,Halton,Burlington,L7P 4C3,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1084,St Patrick School Age Program,Toronto,Markham,L3P 1B6,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1086,YMCA Rolling Meadows SACC,Halton,Burlington,L7P 2H5,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1088,St Justin Martyr School Age Program,Toronto,Markham,L3R 8K4,,Inactive/New,Yes,0.00,0.00,
YMCA of Greater Toronto,1089,YMCA Toronto - J. M. Denyes YMCA School Age Program,Halton,Milton,L9T 2E5,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1090,YMCA Ham/Burl - YMCA SACC - Clarksdale,Halton,Burlington,L7P 1C6,,Inactive/New,Yes,0.00,0.00,
Lakeside Montessori School Ltd,1092,Lakeside Montessori School,Peel,Mississauga,L5E1E8,,Inactive/New,No,0.00,0.00,
Bronte Heights Day School,1097,Bronte Heights Day School,Halton,Burlington,L7L 6B3,,Inactive/New,No,0.00,0.00,
YMCA of Greater Toronto,1100,Sam Sherratt YMCA School Age Program,Halton,Milton,L9T 4N4,,Inactive/New,Yes,0.00,0.00,
YMCA of Greater Toronto,1103,YMCA Toronto - E.W. Foster YMCA Schoolage Program,Halton,Milton,L9T 4M5,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1104,YMCA Ham/Burl - YMCA SACC - Central,Halton,Burlington,L7R 2H2,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1106,YMCA Ham/Burl - YMCA SACC - Sir Ernest MacMillan,Halton,Burlington,L7M 1V8,,Inactive/New,Yes,0.00,0.00,
Share and Care Child Care Centre,1107,Share and Care Child Care Centre,York Region,Stouffville,L4A 4H1,2024-02-08,Dormant 4,No,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1109,YMCA Kilbride SACC,Halton,Burlington,L7P 0L8,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1110,YMCA Ham/Burl - YMCA SACC - Dr. Charles Best,Halton,Burlington,L7M 1C7,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1111,YMCA Tecumseh SACC,Halton,Burlington,L7N 2V6,,Inactive/New,Yes,0.00,0.00,
Caterpillar & Co.,1115,Caterpillar & Co,Toronto,Etobicoke,M8Z 2Z2,2022-06-02,Inactive/New,No,0.00,0.00,
CDI,1132,CDI - Fraser Mustard Early Learning Centre,Toronto,Toronto,M4H 1K3,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1133,Columbus Childrens Centre,Toronto,Toronto,M6A 1C3,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1134,Centro Abruzzo,Toronto,Toronto,M6L 3E8,2024-04-18,Dormant 4,Yes,0.00,0.00,
Centennial College,1139,Centennial College - Diefenbakker Public School,Toronto,East York,M4J 2R2,2025-05-30,Active,No,138.92,2352.84,
Holland Bloorview Nursery School,1145,Holland Bloorview Nursery School - Scarborough,Toronto,Toronto,M1R 1Y1,2025-05-06,Active,No,21.50,109.00,
Holland Bloorview Nursery School,1147,Holland Bloorview Nursery School - Play and Learn,Toronto,Toronto,M5N 1C3,2025-05-06,Active,No,10.86,118.58,
123 TLC Daycare,1149,123 TLC Daycare,Peel,Mississauga,L5M1M2,,Inactive/New,No,0.00,0.00,
Oakville Family YMCA,1159,HCDSB - St. Matthew Catholic Elementary School,Halton,Oakville,L6M2G3,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1161,HCDSB - St. Mary Catholic Elementary School,Halton,Oakville,L6M0B7,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1162,HCDSB - Canadian Martyrs,Halton,Burlington,L7M 1K1,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1163,YMCA Ham/Burl - YMCA SACC - Frontenac,Halton,Burlington,L7L 3V4,,Inactive/New,Yes,0.00,0.00,
Simply Smart Child Care Centres - Peel,1167,SSCCC - Mississauga,Peel,Mississauga,L5N 8C9,2023-08-31,Inactive/New,Yes,0.00,0.00,
COSTI - Peel,1175,COSTI - Centennial Mall ELT,Peel,Brampton,L6V3C9,,Inactive/New,Yes,0.00,0.00,
Kinder Kids International Preschool - Peel,1178,Kinder Kids International Preschool,Peel,Mississauga,L5J 0A7,2025-05-12,Active,No,5.75,848.17,
LEF - Toronto,1179,LEF - St. Marcellus ELC,Toronto,Etobicoke,M9R 1Y4,2025-05-20,Active,Yes,0.00,15.83,
Colwell Nursery School,1184,Colwell Nursery School,Durham,Pickering,L1W2H4,2025-05-12,Active,No,191.36,1067.83,
LEF - Toronto,1187,LEF - Perth,Toronto,Toronto,M6P 3P8,2025-05-07,Active,Yes,16.46,71.25,
North York Little Prints,1188,North York Prints - St. Gregory,Toronto,Etobicoke,M9B2K6,,Inactive/New,No,0.00,0.00,
Milton Community Resource Centre,1193,Tiger Jeet Singh Before & After School Program,Halton,Milton,L9T7P6,,Inactive/New,Yes,0.00,0.00,
Hatch House Montessori School,1196,Hatch House Montessori School,Durham,Whitby,L1N4P9,,Inactive/New,No,0.00,0.00,
The Clover School,1198,The Clover School - Midtown Campus,Toronto,Toronto,M6A 2A9,,Inactive/New,No,0.00,0.00,
WOODGREEN COMMUNITY SERVICES,1202,Woodgreen Community Services (Morse Street Child Care Centre),Toronto,Toronto,M4M 2R9,2025-05-30,Active,Yes,142.33,1083.24,
WOODGREEN COMMUNITY SERVICES,1203,Woodgreen Community Services (Riverdale Child Care),Toronto,Toronto,M4M 2A1,2025-04-17,Dormant 1,Yes,45.50,462.83,
WOODGREEN COMMUNITY SERVICES,1204,Woodgreen Community Services (Woodfield Child Care Centre),Toronto,Toronto,M4L 2W6,2025-05-21,Active,Yes,90.33,453.67,
WOODGREEN COMMUNITY SERVICES,1205,Woodgreen Community Services (Bruce Woodgreen Early Learning Centre),Toronto,Toronto,M4N 2Y6,2025-05-07,Active,Yes,42.81,527.42,
WoodGreen,1206,Debbie Yeung Child Care,Toronto,East York,M4J 2M2,2025-05-21,Active,Yes,25.83,77.50,
WOODGREEN COMMUNITY SERVICES,1207,Woodgreen Community Services (Enderby Child Care),Toronto,Toronto,M4E 2S7,2025-03-14,Dormant 2,Yes,35.00,35.00,
WOODGREEN COMMUNITY SERVICES,1208,Woodgreen Community Services (Leslieville Child Care),Toronto,Toronto,M4M 3C9,2025-04-22,Active,Yes,28.50,57.00,
LEF - Toronto,1209,LEF - St. Fidelis ELC,Toronto,Toronto,M6L2S5,2025-05-16,Active,Yes,19.89,67.42,
YMCA of Hamilton / Burlington / Brantford,1210,YMCA SACC - ALEXANDER,Halton,Burlington,L7L 0B9,,Inactive/New,Yes,0.00,0.00,
Todays Family - Caring for Your Child - Halton,1212,Alton Village Before and After School Program,Halton,Burlington,L7M 0N7,,Inactive/New,Yes,0.00,0.00,
YMCA of Greater Toronto,1213,Anne J. MacArthur YMCA SA Program,Halton,Milton,L9T 8J6,,Inactive/New,Yes,0.00,0.00,
Milton Community Resource Centre,1214,Bruce Trail Early Learning and Child Care Centre,Halton,Milton,L9T6N8,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1215,YMCA Ham/Burl - Charles Beaudoin,Halton,Burlington,L7M 5A1,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1216,Oakville Family YMCA SACC - Emily Carr,Halton,Oakville,L6M0G5,,Inactive/New,Yes,0.00,0.00,
Milton Community Resource Centre,1218,Hawthorne Village Before & After School Program,Halton,Milton,L9T6X9,,Inactive/New,Yes,0.00,0.00,
YMCA of Greater Toronto,1219,Irma Coulson,Halton,Milton,L9T 8M4,,Inactive/New,Yes,0.00,0.00,
Todays Family - Caring for Your Child - Halton,1220,Todays Family Before and After School Age Program - JW Boich,Halton,Burlington,L7L 0G2,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1221,Oakville Family YMCA SACC - Joshua Creek,Halton,Oakville,L6H7P9,,Inactive/New,Yes,0.00,0.00,
YMCA of Greater Toronto,1222,Limehouse YMCA,Halton,Burlington,L0P 1H0,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1223,YMCA Ham/Burl - YMCA SACC - Orchard Park,Halton,Burlington,L7L 7J3,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1224,YMCA Pauline Johnson SACC,Halton,Burlington,L7L 1X7,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1226,YMCA Ham/Burl - YMCA SACC - Pineland,Halton,Burlington,L7L 3K7,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1229,Oakville Family YMCA SACC - West Oak Public School,Halton,Oakville,L6M3K1,,Inactive/New,Yes,0.00,0.00,
First Stage Child Care Centre,1231,First Stage Child Care Centre - Kipling,Toronto,Etobicoke,M9V3B2,,Inactive/New,No,0.00,0.00,
Oakville Family YMCA,1234,HCDSB - St. John Catholic Elementary School,Halton,Oakville,L6H1K4,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1235,HCDSB - St. Christopher Catholic Elementary School,Halton,Burlington,L7L 7A9,,Inactive/New,Yes,0.00,0.00,
YMCA of Hamilton / Burlington / Brantford,1236,HCDSB - St. Raphael Catholic Elementary School,Halton,Burlington,L7L 1S9,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1237,HCDSB - St. Dominic Catholic Elementary School,Halton,Oakville,L6L2b1,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1238,HCDSB - St Marguerite dYouville Catholic Elem Sch,Halton,Oakville,L6H6C7,,Inactive/New,Yes,0.00,0.00,
Oakville Family YMCA,1239,HCDSB - St. Vincent Catholic Elementary School,Halton,Oakville,L6J2A4,,Inactive/New,Yes,0.00,0.00,
Beaches Co-operative Playschool,1245,Beaches Co-operative Playschool,Toronto,Toronto,M4E 1T1,2023-04-20,Inactive/New,No,0.00,0.00,
Aspiring Academics Preschool Inc. ,1253,Aspiring Academics Preschool Inc. - Woodflield,Toronto,Toronto,M4L 2W7,,Inactive/New,No,0.00,0.00,
COSTI - Toronto,1254,COSTI - North York - Language and Skills Training,Toronto,Toronto,M3L1B2,2025-03-21,Dormant 2,Yes,26.75,344.41,
COSTI - Toronto,1254,Costi - Sheridan Mall,Toronto,Toronto,M3L 1B2,2025-03-21,Dormant 2,Yes,26.75,344.41,
Brightminds Childcare and Montessori,1257,Brightminds Childcare and Montessori,Toronto,Toronto,M4B 2T8,2023-09-28,Inactive/New,No,0.00,0.00,
LEF - Toronto,1260,LEF - General Mercer,Toronto,Toronto,M6N1P8,2025-05-20,Active,Yes,14.00,64.17,
Kinderhuis Montessori (1831594 Ontario Inc.),1261,Kinderhuis Montessori,Halton,Oakville,L6L6M3,,Inactive/New,No,0.00,0.00,
Curious Caterpillars,1266,Curious Caterpillars - Petman,Toronto,Toronto,M4S 2S9,2022-12-19,Inactive/New,No,0.00,0.00,
Reggio Kids,1271,Reggio Kids Child Care Centre,York Region,Richmond Hill,L4C 9X7,2025-04-23,Active,No,76.00,285.75,
Reggio Kids,1273,Reggio Kids (9741),York Region,Richmond Hill,L4C9X7,,Inactive/New,No,0.00,0.00,
Network Child Care Services,1275,Network - Wade Avenue Centre,Toronto,Toronto,M6H 3Y5,2025-05-14,Active,Yes,63.64,268.42,
Learning Blocks Montessori School,1276,Learning Blocks Montessori School - Burlington,Halton,Burlington,L7R3X4,,Inactive/New,No,0.00,0.00,
Glenashton Daycare Centre Limited.,1278,Glenashton Daycare Centre,Halton,Oakville,L6H7H2,,Inactive/New,No,0.00,0.00,
Odyssey Montessori School,1280,Odyssey Montessori School(Christie),Toronto,Toronto,M6G3B8,,Inactive/New,No,0.00,0.00,
LEF - Toronto,1284,LEF - ST. JUDE ELC,Toronto,Toronto,M9M 2T9,,Inactive/New,Yes,0.00,0.00,
Trafalgar Oaks Child Care & Learning Centre,1285,Trafalgar Oaks Child Care & Learning Centre,Halton,Oakville,L6H 5T1,,Inactive/New,No,0.00,0.00,
Thorncliffe Park Daycare Centre,1289,Thorncliffe Park Daycare Centre,Toronto,East York,M4H 1J7,,Inactive/New,No,0.00,0.00,
Special Moments Child Care Centre,1318,Special Moments Child Care Centre,Toronto,Toronto,M4S 1N6,,Inactive/New,No,0.00,0.00,
First Stage Child Care Centre,1321,First Stage West Humber,Toronto,Toronto,M9V3S3,,Inactive/New,No,0.00,0.00,
Children's Playgarden -Toronto Military Family Resource Centre,1324,Children's Playgarden -Toronto Military Family Resource Centre,Toronto,North York,M3K 0A1,,Inactive/New,No,0.00,0.00,
Newcomer Womens Services,1332,Newcomer Womens Services,Toronto,Toronto,M4J 1L4,,Inactive/New,No,0.00,0.00,
Noahs Ark Childcare and Nursery,1333,Noahs Ark Childcare and Nursery,York Region,Richmond Hill,L4S1K9,,Inactive/New,No,0.00,0.00,
Hopedale Montessori School,1338,Palermo Campus,Halton,Oakville,L6M 4J3,,Inactive/New,No,0.00,0.00,
Brookhaven Child Care Centre,1340,Brookhaven Childcare - St. Bernard,Toronto,Toronto,M6M 4W4,2025-05-16,Active,No,43.83,1224.07,
Heart Beatz Cliffcrest Community Centre,1344,Heart Beatz Cliffcrest - H.A. Halbert,Toronto,Toronto,M1M3L7,2023-07-21,Inactive/New,No,0.00,0.00,
Monika Arpasi,1345,Tiny Bubbles Childcare,York Region,Stouffville,L4A 1A6,2025-02-21,Dormant 2,No,16.50,104.50,
Gibraltar Point Day Care,1347,Gibraltar Point Day Care,Toronto,Toronto,M5J2E9,,Inactive/New,No,0.00,0.00,
Alderwood Action After School,1349,Alderwood Cooperative Nursery School,Toronto,Toronto,M8W4N6,,Inactive/New,No,0.00,0.00,
Milton Community Resource Centre,1354,Boyne Before & After School Program,Halton,Milton,L9T 8J9,,Inactive/New,Yes,0.00,0.00,
Playbox Nursery School,1357,Playbox Nursery School,Halton,Oakville,L6J 2H1,,Inactive/New,No,0.00,0.00,
LEF - Toronto,1361,LEF - Carleton Village ELC,Toronto,Toronto,M6N2Z4,2025-04-25,Active,Yes,43.08,316.83,
Western Heights Montessori Academy,1376,Western Heights Montessori Academy - Old Bronte,Halton,Oakville,L6M4J2,,Inactive/New,No,0.00,0.00,
Rainbow Village Childcare Centre,1383,Rainbow Village Childcare Centre,Toronto,Scarborough,M1K 5J7,2023-04-03,Inactive/New,No,0.00,0.00,
Taddle Creek and Mildenhall Montessori Schools,1390,High Park Gardens Montessori School,Toronto,Toronto,M6R1S8,,Inactive/New,No,0.00,0.00,
Tiny Hoppers,1394,Tiny Hoppers,Halton,Burlington,L7P 0N6,,Inactive/New,Yes,0.00,0.00,
Wonder Kidz,1399,Clarkson Angels North - 1603,Peel,Mississauga,L5J 2X1,,Inactive/New,No,0.00,0.00,
Howard Park Childrens Centre,1404,Howard Park Childrens Centre,Toronto,Toronto,M6R 1T2,2024-12-05,Dormant 4,No,0.00,24.00,
Ascot Avenue Community Daycare,1405,Ascot Avenue Community Daycare - Preschool,Toronto,Toronto,M6E 1A3,2025-03-31,Dormant 1,No,66.17,76.17,
Sunshine Kids,1406,Sunshine Kids,Toronto,Etobicoke,M9C1B2,,Inactive/New,No,0.00,0.00,
Enquiring Minds Montessori,1408,Enquiring Minds Montessori Casa,Toronto,Scarborough,M1P2Y4,,Inactive/New,No,0.00,0.00,
Manor Road Nursery School,1410,Manor Road Nursery School,Toronto,Toronto,M4S 1R4,,Inactive/New,No,0.00,0.00,
Guildwood Village Montessori School,1411,Guildwood Village Montessori School,Toronto,Scarborough,M1C1B4,,Inactive/New,No,0.00,0.00,
Peel Explore & Learn,1412,Countryside Village P.S.,Peel,Brampton,L6R 0B3,2022-07-29,Inactive/New,No,0.00,0.00,
Kaban Montessori,1413,Kaban Montessori,Peel,Mississauga,L5L 1T1,,Inactive/New,No,0.00,0.00,
Hawthorn School,1414,Hawthorn School Daycare,Toronto,North York,M3B2R2,2024-11-22,Dormant 4,No,0.00,20.75,
Autumn Hill Academy,1416,Autumn Hill Academy,York Region,Concord,L4K 5M4,2025-01-27,Dormant 3,No,0.00,123.50,
Peel Explore & Learn,1417,Walnut Grove P.S.,Peel,Brampton,L6P 3X8,,Inactive/New,No,0.00,0.00,
WoodGreen,1418,WoodGreen Community - 1491 Danforth,Toronto,Toronto,M4J 1N5,2025-04-28,Active,Yes,9.58,30.33,
Burlington Dance Academy Preschool,1419,Burlington Dance Academy Preschool,Halton,Burlington,L7N 3L7,,Inactive/New,No,0.00,0.00,
The Neighbourhood Group Community Services (CNH),1425,Winchester Daycare,Toronto,Toronto,M4X 1C7,,Inactive/New,Yes,0.00,0.00,
Lakeridge Montessori School,1427,Lakeridge Montessori School,Durham,Whitby,L1M 1V8,,Inactive/New,No,0.00,0.00,
Halton Centre for Child Care,1430,The Halton Centre For Child Care,Halton,Oakville,L6M3L1,,Inactive/New,No,0.00,0.00,
Safari Kids,1434,Richmond Hill North Location,York Region,Richmond Hill,L4C 3B6,,Inactive/New,Yes,0.00,0.00,
Wee Care Educational Services Inc.,1438,Downsview Drive,Halton,Burlington,L7T 4H8,,Inactive/New,No,0.00,0.00,
St Philips Community Preschool,1441,St Philips Community Preschool,Toronto,Toronto,M5M 1Z6,2022-05-31,Inactive/New,No,0.00,0.00,
Willow Tree Montessori,1443,Willow Tree Montessori,Peel,Mississauga,L5M 1L8,,Inactive/New,No,0.00,0.00,
Northwood Montessori Plus - York,1445,Northwood Montessori - Gallanough Campus,York Region,Thornhill,L4J2K7,,Inactive/New,No,0.00,0.00,
Parkview Childrens Centre,1452,St. Gregory School,Halton,Oakville,L6M 4L9,,Inactive/New,Yes,0.00,0.00,
Academia Concept Educational Centre,1453,Academia Concept Educational Centre,Toronto,Markham,L3R 5G1,,Inactive/New,No,0.00,0.00,
Taddle Creek & Mildenhall Montessori Schools,1455,Taddle Creek & Mildenhall Montessori Schools,Toronto,Toronto,M5R2S9,,Inactive/New,No,0.00,0.00,
Open Book Daycare Centres Inc.,1463,Brampton,Peel,Brampton,L6T1X6,,Inactive/New,No,0.00,0.00,
Tiny Bumblebees Child Care Inc.,1465,Tiny Bumblebees Child Care Inc.,Toronto,Toronto,M4S 2K6,,Inactive/New,No,0.00,0.00,
Vincent Massey Childcare Center (521909 Ontario Ltd.),1469,Vincent Massey Academy - (521909 Ontario Ltd.),Toronto,Toronto,M8W 1S1,2025-02-21,Dormant 2,No,15.50,58.25,
Grosvenor Montessori School,1477,Grosvenor Montessori School,York Region,Richmond Hill,L4C3R6,,Inactive/New,No,0.00,0.00,
Vincent Massey Childcare Center (521909 Ontario Ltd.),1481,Vincent Massey Academy - Franklin Horner Campus,Toronto,Toronto,M8W 2B2,2025-05-12,Active,No,40.00,108.25,
Monarch Manor Daycare,1488,Monarch Manor,Toronto,Toronto,M4S1R8,,Inactive/New,No,0.00,0.00,
LEF - Toronto,1495,LEF - Summit Height Childcare Centre,Toronto,Toronto,M3H1M1,,Inactive/New,Yes,0.00,0.00,
LEF - Toronto,1496,LEF - Clairlea Child Care Centre,Toronto,Scarborough,M1L2X1,2025-01-30,Dormant 3,Yes,0.00,19.50,
Willowbrae Academy - Peel,1498,Willowbrae Academy,Peel,Brampton,L7A 2V3,2023-12-22,Inactive/New,Yes,0.00,0.00,
Sweet Pea Daycare,1501,Sweet Pea Daycare,Halton,Milton,L9T 9A9,,Inactive/New,No,0.00,0.00,
The Village Children's Programs,1502,McGivney Early Learning Centre,York Region,Markham,L3S 3K8,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1502,Village Childrens Program - McGivney,Toronto,Markham,L3S 3K8,,Inactive/New,Yes,0.00,0.00,
Kids Palace Nursery School,1511,Kids Palace Nursery School,Peel,Mississauga,L5A 3S2,,Inactive/New,No,0.00,0.00,
Peel Montessori School,1513,Peel Montessori School,Peel,Mississauga,L5J 2S6,,Inactive/New,No,0.00,0.00,
Matthew John Day Care,1524,Matthew John Day Care,Toronto,Toronto,M4M1W9,2024-08-07,Dormant 4,No,0.00,21.00,
Lansing Co-operative Nursery School,1536,Lansing Co-operative Nursery School,Toronto,North York,M2N 4G1,,Inactive/New,No,0.00,0.00,
LEF - Toronto,1538,LEF - Presteign,Toronto,East York,M4B1M3,,Inactive/New,Yes,0.00,0.00,
Heritage Child Care and Early Learning,1541,Heritage Child Care - St Rene,Toronto,Scarborough,M1V2G8,2025-04-25,Active,No,13.96,518.76,
Heritage Child Care and Early Learning,1542,Heritage Child Care - Milliken Site,Toronto,Scarborough,M1V2T4,2025-02-04,Dormant 3,No,3.50,158.00,
Mount Pleasant Montessori,1550,Mount Pleasant Montessori,Peel,Brampton,L6X3B7,,Inactive/New,No,0.00,0.00,
Mini-Skool - A Childs Place Inc.,1555,Mini-Skool - Bramalea,Peel,Brampton,L6T 3V5,2025-03-11,Dormant 2,Yes,23.09,23.09,
Unionville Discovery Preschool,1559,Unionville Discovery Preschool,Toronto,Markham,L3R 1Z9,,Inactive/New,No,0.00,0.00,
June Lee Investments Ltd.,1561,Rainbow Village Day Care Centre I,Peel,Mississauga,L4T 2V1,,Inactive/New,No,0.00,0.00,
Little Miracles Child Care and Learning Centre,1562,Little Miracles Child Care and Learning Centre,York Region,Markham,L3R 5N9,,Inactive/New,No,0.00,0.00,
Little Leaf Daycare - Port Credit,1566,Little Leaf Daycare - Port Credit,Peel,Mississauga,L5G 2E5,2025-05-21,Active,No,43.22,630.92,
Deer Park Extended Primary Education Program,1567,Deer Park Extended Primary Education Program,Toronto,Toronto,M4T2B4,,Inactive/New,No,0.00,0.00,
LEF - York,1568,LEF - HOLY ROSARY CATHOLIC SCHOOL,York Region,York,M5P2Y1,,Inactive/New,Yes,0.00,0.00,
Lumb Child Care Services Inc.,1570,The Village Childcare Centre,Halton,Burlington,L7M0K1,,Inactive/New,No,0.00,0.00,
Mini-Skool - A Childs Place Inc.,1584,Mini-Skool 106A Clubhouse,Peel,Brampton,L6T 1X5,2023-07-28,Inactive/New,Yes,0.00,0.00,
Church of the Nazarene of Brampton,1595,Happy Life Child Care Centre,Peel,Brampton,L6V2J1,,Inactive/New,No,0.00,0.00,
Blue Bell Academy,1599,Blue Bell Academy,Toronto,Toronto,M4E 2C6,,Inactive/New,No,0.00,0.00,
Kol Torah Congregation,1600,Kol Torah Congregation,York Region,Thornhill,L4J4P8,,Inactive/New,No,0.00,0.00,
Gan Chabad,1605,Gan Chabad,Toronto,North York,M3H4R1,,Inactive/New,No,0.00,0.00,
Springdale Learning Centre,1606,Shaw P.S.,Peel,Brampton,L6R 3K2,,Inactive/New,No,0.00,0.00,
Hawthorne on Essex Daycare,1610,Hawthorne on Essex Daycare,Toronto,Toronto,M6G1T3,,Inactive/New,No,0.00,0.00,
Bridgeway Family Centre,1611,BFC - Turtle Creek,Peel,Mississauga,L5J 1J6,2023-04-06,Inactive/New,Yes,0.00,0.00,
Kreative Kids Child Care Centre,1612,Kreative Kids Child Care Centre - Terry Fox,Toronto,Scarborough,M1W3M9,2023-11-10,Inactive/New,No,0.00,0.00,
Bridgeway Family Centre,1613,BFC - Brittany Glen,Peel,Mississauga,L5M 6S3,2023-10-02,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1614,BFC - Port Credit Library,Peel,Mississauga,L5G 1C8,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1615,BFC - Ellengale Public School,Peel,Mississauga,L5C 1Z7,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1616,BFC - Erin Meadows,Peel,Mississauga,L5M 7M4,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1617,BFC - Munden Park PS,Peel,Mississauga,L5A 1J8,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1618,BFC - Meadowvale Park PS,Peel,Mississauga,L5N 3L4,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1619,BFC - Plowmans Park PS,Peel,Mississauga,L5N 3J5,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1620,BFC - Port Credit Secondary School,Peel,Mississauga,L5G 2E5,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1622,BFC - Queen of Heaven Elementary School,Peel,Mississauga,L5E 2A5,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1623,BFC - Sheridan Villa,Peel,Mississauga,L5J 3Z8,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1624,BFC - Sheridan Library,Peel,Mississauga,L5K 1T9,,Inactive/New,Yes,0.00,0.00,
